#STEM=all_IP_networks
#VERSION=v20260828r15
#ROWS=25704
#CREATED=2026-08-23T15:41:25Z
#TOOL=update_ipam.py v1.16
#NOTE=Delta update: +5 subnets from preprocess
#END_HEADER
#UPDATED=2026-08-25T02:18:35Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260824.csv +0 -340 rows
#UPDATED=2026-08-25T02:20:41Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260824.csv +340 -0 rows
#UPDATED=2026-08-25T02:26:15Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_REMOVE_orphan_10.18.79.50_v20260824.csv +0 -1 rows
#UPDATED=2026-08-25T02:27:34Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_ADD_orphan_10.18.79.50_v20260824.csv +1 -0 rows
#UPDATED=2026-08-25T02:30:54Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_REMOVE_orphan_10.18.79.50_v20260824.csv +0 -1 rows
#UPDATED=2026-08-25T02:32:02Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260824.csv +0 -817 rows
#UPDATED=2026-08-25T02:33:54Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260824.csv +227 -0 rows
#UPDATED=2026-08-25T02:34:54Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_ADD_children_v20260824.csv +590 -0 rows
#UPDATED=2026-08-26T03:25:15Z
#GENERATOR=ipam-db.py v3.36.8 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260825.csv +0 -4423 rows
#UPDATED=2026-08-26T03:26:38Z
#GENERATOR=ipam-db.py v3.36.8 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260825.csv +4423 -0 rows
#UPDATED=2026-08-27T02:53:40Z
#GENERATOR=ipam-db.py v3.36.8 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260826.csv +0 -5238 rows
#UPDATED=2026-08-27T02:58:33Z
#GENERATOR=ipam-db.py v3.36.8 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260826.csv +728 -0 rows
#UPDATED=2026-08-27T02:59:57Z
#GENERATOR=ipam-db.py v3.36.8 --update-patch all_IP_networks_egress_rd_ADD_children_v20260826.csv +4510 -0 rows
#UPDATED=2026-08-27T18:50:40Z
#GENERATOR=ipam-db.py v3.36.9 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260827.csv +0 -44 rows
#UPDATED=2026-08-27T18:51:34Z
#GENERATOR=ipam-db.py v3.36.9 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260827.csv +44 -0 rows
#UPDATED=2026-08-27T19:06:48Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260827.csv +0 -6 rows
#UPDATED=2026-08-27T19:07:52Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260827.csv +2 -0 rows
#UPDATED=2026-08-27T19:09:04Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_children_v20260827.csv +4 -0 rows
#UPDATED=2026-08-28T16:48:53Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260828.csv +0 -436 rows
#UPDATED=2026-08-28T16:51:50Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260828.csv +436 -0 rows
#UPDATED=2026-08-28T16:53:25Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260828.csv +0 -1214 rows
#UPDATED=2026-08-28T16:55:48Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260828.csv +90 -0 rows
#UPDATED=2026-08-28T16:57:54Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_children_v20260828.csv +1124 -0 rows
#UPDATED=2026-08-28T18:24:16Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260828.csv +0 -436 rows
#UPDATED=2026-08-28T18:35:56Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260828.csv +436 -0 rows
#UPDATED=2026-08-28T18:42:21Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260828.csv +0 -1214 rows
#UPDATED=2026-08-28T18:46:11Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260828.csv +90 -0 rows
#UPDATED=2026-08-28T18:48:53Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_children_v20260828.csv +1124 -0 rows
#UPDATED=2026-08-28T19:53:58Z
#GENERATOR=ipam-db.py v3.37.3 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260828r1.csv +0 -213 rows
#UPDATED=2026-08-28T19:56:56Z
#GENERATOR=ipam-db.py v3.37.3 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260828r1.csv +213 -0 rows
#UPDATED=2026-08-28T20:00:27Z
#GENERATOR=ipam-db.py v3.37.3 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260828r1.csv +0 -5371 rows
#UPDATED=2026-08-28T20:55:56Z
#GENERATOR=ipam-db.py v3.37.3 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260828r1.csv +113 -0 rows
#UPDATED=2026-08-28T20:57:45Z
#GENERATOR=ipam-db.py v3.37.3 --update-patch all_IP_networks_egress_rd_ADD_children_v20260828r1.csv +5258 -0 rows
CIDR,PREFIX_LEN,NETWORK_ADDRESS,BROADCAST_ADDRESS,SITE_CODE,CANONICAL_LOCATION,LOCATION_TYPE,HERITAGE,STATUS,NET_TYPE,ROUTING_DOMAIN,FACILITY_TYPE,STORE_NUMBER,COMM_TYPE,DATA_QUALITY,SOURCE,DATASET_VERSION,LOC_MASTER_VERSION,CONTESTED_BLOCK,EXT_ID_REFS
10.8.186.12/30,30.0,10.8.186.12,10.8.186.15,US_ATL_GA_DC,Atlanta GA - Aetna DC,DataCenter,SWITCH,Active,DataCenter,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.186.16/30,30.0,10.8.186.16,10.8.186.19,US_ATL_GA_DC,Atlanta GA - Aetna DC,DataCenter,SWITCH,Active,DataCenter,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.186.20/30,30.0,10.8.186.20,10.8.186.23,US_ATL_GA_DC,Atlanta GA - Aetna DC,DataCenter,SWITCH,Active,DataCenter,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.191.0/24,24.0,10.8.191.0,10.8.191.255,US_EPO_TX_TP,El Paso TX - HGS,Partner,CVS,Active,Partner,Partner,Corporate,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.191.8/30,30.0,10.8.191.8,10.8.191.11,US_EPO_TX_TP,El Paso TX - HGS,Partner,CVS,Active,Partner,Partner,Unknown,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.191.12/30,30.0,10.8.191.12,10.8.191.15,US_EPO_TX_TP,El Paso TX - HGS,Partner,CVS,Active,Partner,Partner,Unknown,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.191.16/30,30.0,10.8.191.16,10.8.191.19,US_EPO_TX_TP,El Paso TX - HGS,Partner,CVS,Active,Partner,Partner,Unknown,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.191.20/30,30.0,10.8.191.20,10.8.191.23,US_EPO_TX_TP,El Paso TX - HGS,Partner,CVS,Active,Partner,Partner,Unknown,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.223.0/24,24.0,10.8.223.0,10.8.223.255,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.223.8/30,30.0,10.8.223.8,10.8.223.11,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.223.12/30,30.0,10.8.223.12,10.8.223.15,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.223.16/30,30.0,10.8.223.16,10.8.223.19,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.223.20/30,30.0,10.8.223.20,10.8.223.23,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.247.8/30,30.0,10.8.247.8,10.8.247.11,US_LAX_CA_TP,Los Angeles CA - Partner,Partner,CVS,Active,Partner,Partner,Unknown,,,Inferred,NMS,20260603r19,v5.19,,
10.8.247.12/30,30.0,10.8.247.12,10.8.247.15,US_LAX_CA_TP,Los Angeles CA - Partner,Partner,CVS,Active,Partner,Partner,Unknown,,,Inferred,NMS,20260603r19,v5.19,,
10.8.247.16/30,30.0,10.8.247.16,10.8.247.19,US_LAX_CA_TP,Los Angeles CA - Partner,Partner,CVS,Active,Partner,Partner,Unknown,,,Inferred,NMS,20260603r19,v5.19,,
10.8.247.20/30,30.0,10.8.247.20,10.8.247.23,US_LAX_CA_TP,Los Angeles CA - Partner,Partner,CVS,Active,Partner,Partner,Unknown,,,Inferred,NMS,20260603r19,v5.19,,
10.8.249.0/24,24.0,10.8.249.0,10.8.249.255,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.249.8/30,30.0,10.8.249.8,10.8.249.11,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.249.12/30,30.0,10.8.249.12,10.8.249.15,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.249.16/30,30.0,10.8.249.16,10.8.249.19,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.249.20/30,30.0,10.8.249.20,10.8.249.23,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.252.0/24,24.0,10.8.252.0,10.8.252.255,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.252.8/30,30.0,10.8.252.8,10.8.252.11,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.252.12/30,30.0,10.8.252.12,10.8.252.15,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.252.16/30,30.0,10.8.252.16,10.8.252.19,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.8.252.20/30,30.0,10.8.252.20,10.8.252.23,PH_QCY_RM_TP3,Quezon City PH - Concentrix 2,Partner,PARTNER,Active,Partner,Partner,Partner,,,Authoritative,NMS,20260603r19,v5.19,,
10.12.31.0/24,24.0,10.12.31.0,10.12.31.255,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,DMZ,COLO,COLO,,,Inferred,FW-GAP-ANALYSIS,20260603r19,v5.19,,
10.12.48.0/24,24.0,10.12.48.0,10.12.48.255,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.12.48.0/31,31.0,10.12.48.0,10.12.48.1,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.12.48.2/31,31.0,10.12.48.2,10.12.48.3,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.12.48.4/31,31.0,10.12.48.4,10.12.48.5,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.12.48.6/31,31.0,10.12.48.6,10.12.48.7,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.12.48.8/31,31.0,10.12.48.8,10.12.48.9,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.12.48.10/31,31.0,10.12.48.10,10.12.48.11,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.12.48.12/31,31.0,10.12.48.12,10.12.48.13,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.12.48.14/31,31.0,10.12.48.14,10.12.48.15,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.12.48.16/31,31.0,10.12.48.16,10.12.48.17,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.12.48.18/31,31.0,10.12.48.18,10.12.48.19,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.12.48.20/31,31.0,10.12.48.20,10.12.48.21,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.12.48.22/31,31.0,10.12.48.22,10.12.48.23,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
